title,organization,sector,position_type,location,posted_date,deadline,salary,employment_type,source_page,posting_link,source,first_seen
Tenure-track Faculty Position in Operations Management,Duke University,Academia,Tenure-Track Faculty,"The Fuqua School of Business, Duke University",03/08/2026,,,,https://careercenter.informs.org/job/tenure-track-faculty-position-in-operations-management-durham-north-carolina-5460,https://careercenter.informs.org/job/tenure-track-faculty-position-in-operations-management-durham-north-carolina-5460,INFORMS Career Center,29/08/2026
Michigan State University Postdoctoral Position,Michigan State University,Academia,Postdoctoral,,03/06/2026,,,,https://connect.informs.org/discussion/michigan-state-university-postdoctoral-position-3,https://connect.informs.org:443/discussion/michigan-state-university-postdoctoral-position-2?hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
Assistant Professor of Project Management at Jacksonville State University,Jacksonville State University,Academia,Assistant Professor,,02/10/2026,,,,https://connect.informs.org/discussion/assistant-professor-of-project-management-at-jacksonville-state-university,https://careers.jsu.edu/cw/en-us/job/498025/assistantassociate-professor-project-management,INFORMS Connect - Available Positions,13/08/2026
Clinical Assistant/Associate Professor Position at Arizona State University W. P. Carey School of Business,Arizona State University,Academia,Associate Professor,,02/09/2026,,,,https://connect.informs.org/discussion/clinical-assistantassociate-professor-position-at-arizona-state-university-w-p-carey-school-of-business-1,https://apply.interfolio.com/180337,INFORMS Connect - Available Positions,13/08/2026
"Postdoctoral Positions - Fudan University, School of Management & University of Oxford, Saïd Business School",University of Oxford,Academia,Postdoctoral,,02/09/2026,,,,https://connect.informs.org/discussion/postdoctoral-positions-fudan-university-school-of-management-university-of-oxford-sad-business-school-2,https://connect.informs.org:443/viewdocument/postdoctoral-positions-fudan-univ-2?CommunityKey=1da3a01c-2272-4e45-b382-18c7640da1b7&tab=librarydocuments&hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
"Tenure-Track Assistant Professor of Business Analytics, AI/ML, Fall 2027","Haslam College of Business, Department of Business Analytics & Statistics Knoxville, Tennessee",Academia,Assistant Professor,"Haslam College of Business, Department of Business Analytics & Statistics",02/07/2026,,,UTK Tenure Track Faculty,https://careercenter.informs.org/job/tenure-track-assistant-professor-of-business-analytics-ai-ml-fall-2027-knoxville-tennessee-5416,https://careercenter.informs.org/job/tenure-track-assistant-professor-of-business-analytics-ai-ml-fall-2027-knoxville-tennessee-5416,INFORMS Career Center,13/08/2026
"Tenure-Track Assistant Professor of Operations Management, Fall 2027","Haslam College of Business, Department of Business Analytics & Statistics Knoxville, Tennessee",Academia,Assistant Professor,"Haslam College of Business, Department of Business Analytics & Statistics",02/07/2026,,,UTK Tenure Track Faculty,https://careercenter.informs.org/job/tenure-track-assistant-professor-of-operations-management-fall-2027-knoxville-tennessee-5415,https://careercenter.informs.org/job/tenure-track-assistant-professor-of-operations-management-fall-2027-knoxville-tennessee-5415,INFORMS Career Center,13/08/2026
Postdoctoral Fellow in Health Informatics and Data Science,,Academia,Postdoctoral,,01/08/2026,,,,https://connect.informs.org/discussion/postdoctoral-fellow-in-health-informatics-and-data-science-3,https://connect.informs.org/discussion/postdoctoral-fellow-in-health-informatics-and-data-science-3,INFORMS Connect - Available Positions,13/08/2026
Postdoctoral position at the University of Toronto,University of Toronto,Academia,Postdoctoral,,01/07/2026,,,,https://connect.informs.org/discussion/postdoctoral-position-at-the-university-of-toronto-2,https://connect.informs.org:443/discussion/postdoctoral-position-at-university-of-toronto-1?hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
Assistant Professor (Operations Research) -- US Naval Academy,,Academia,Assistant Professor,,01/06/2026,,,,https://connect.informs.org/discussion/assistant-professor-operations-research-us-naval-academy,https://connect.informs.org:443/discussion/faculty-position-united-states-air-force-academy-assistant-professor-of-applied-statistics-1?hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
Assistant Professor in Optimization,,Academia,Assistant Professor,,,,,,https://connect.informs.org/discussion/assistant-professor-in-optimization-1,https://connect.informs.org:443/discussion/postdoc-positions-with-kth-royal-institute-in-sweden-and-astrazenca-in-stockholm-sweden-1?hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
"Darden - Open Rank, Technology & Operations Management Faculty",,Academia,Open Rank Faculty,,,,,,https://connect.informs.org/discussion/darden-open-rank-technology-operations-management-faculty-3,https://nam10.safelinks.protection.outlook.com/?url=https%3A%2F%2Fapply.interfolio.com%2F173754&data=05%7C02%7Cparkerc%40darden.virginia.edu%7Cda8360d0e77644e5a8f208defc9e53be%7Cf913d821b468447ba84a8e886705359a%7C0%7C0%7C639225954267235897%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=JZ%2FdSXa%2BK0%2BL2zm6XsZ2gIc2yv0P0sEiFE4EVgo1wOc%3D&reserved=0,INFORMS Connect - Available Positions,29/08/2026
"Professor of Data Science Methods in Information Systems (tenured, salary level W2)",,Academia,Other,,,,,,https://connect.informs.org/discussion/faculty-opening-full-professor-of-data-science-methods-in-information-systems-mnster-germany-1,https://connect.informs.org/discussion/faculty-opening-full-professor-of-data-science-methods-in-information-systems-mnster-germany-1,INFORMS Connect - Available Positions,29/08/2026
Faculty Position in Operations Research for Future Energy Systems,,Academia,Other,,,,,,https://connect.informs.org/discussion/faculty-position-in-operations-research-for-future-energy-systems-1,https://www.ing.uc.cl/trabaja-con-nosotros/areas-to-apply-2/,INFORMS Connect - Available Positions,29/08/2026
"MSU Postdoctoral Scholar Position in Logistics, Transportation, and Food Supply Chains",,Academia,Postdoctoral,,,,,,https://connect.informs.org/discussion/msu-postdoctoral-scholar-position-in-logistics-transportation-and-food-supply-chains-1,https://connect.informs.org:443/viewdocument/msu-postdoctoral-scholar-position-in-logistics-transportation-and-food-supply-chains?CommunityKey=1da3a01c-2272-4e45-b382-18c7640da1b7&tab=librarydocuments&hlmlt=VT,INFORMS Connect - Available Positions,29/08/2026
Open-Rank Position in OM at the UCL School of Management,,Academia,Open Rank Faculty,,,,,,https://connect.informs.org/discussion/open-rank-position-in-om-at-the-ucl-school-of-management-3,https://apply.interfolio.com/191749,INFORMS Connect - Available Positions,29/08/2026
"Open-Rank TT Position in Statistics, Data Science, and Computation - NPS",,Academia,Open Rank Faculty,,,,,,https://connect.informs.org/discussion/open-rank-tt-position-in-statistics-data-science-and-computation-nps,https://connect.informs.org:443/communities/community-home/digestviewer/viewthread?GroupId=631&MessageKey=88b9482f-0a5f-4fea-b994-5ff45b42b50b&CommunityKey=1da3a01c-2272-4e45-b382-18c7640da1b7&hlmlt=VT,INFORMS Connect - Available Positions,29/08/2026
Professor of the Practice Position in Operations Research - NPS,,Academia,Other,,,,,,https://connect.informs.org/discussion/professor-of-the-practice-position-in-operations-research-nps,https://connect.informs.org:443/communities/community-home/digestviewer/viewthread?GroupId=631&MessageKey=88b9482f-0a5f-4fea-b994-5ff45b42b50b&CommunityKey=1da3a01c-2272-4e45-b382-18c7640da1b7&hlmlt=VT,INFORMS Connect - Available Positions,29/08/2026
"Teaching Faculty Positions at the Wisconsin School of Business, Operations & Information Management Dept.",,Academia,Other,,,,,,https://connect.informs.org/discussion/teaching-faculty-positions-at-the-wisconsin-school-of-business-operations-information-management-dept-1,https://jobs.wisc.edu/jobs/lecturer-madison-wisconsin-united-states-b28963cf-9aa1-479c-a74c-35da4001e791,INFORMS Connect - Available Positions,29/08/2026
"Term (Teaching) Faculty Position in Business Analytics & AI at Kogod School of Business, American University in DC",American University,Academia,Other,,,,,,https://connect.informs.org/discussion/term-teaching-faculty-position-in-business-analytics-ai-at-kogod-school-of-business-american-university-in-dc,https://american.wd1.myworkdayjobs.com/AU/job/Main-Campus-Washington-DC/Professorial-Lecturer_R4814,INFORMS Connect - Available Positions,29/08/2026
Assistant Professor in Management Science & Information Systems - Oklahoma State University,Assistant Professor in Management Science & Information Systems - Oklahoma State University,Academia,Assistant Professor,,,,,,https://connect.informs.org/discussion/assistant-professor-in-management-science-information-systems-oklahoma-state-university-1,https://jobs.okstate.edu/jobs/assistant-professor-management-science-information-systems-210018-stillwater-oklahoma-united-states,INFORMS Connect - Available Positions,13/08/2026
"Assistant Professor of Information Systems in California State University, Long Beach","California State University, Long Beach",Academia,Assistant Professor,,,,,,https://connect.informs.org/discussion/assistant-professor-of-information-systems-in-california-state-university-long-beach-1,https://connect.informs.org/discussion/assistant-professor-of-information-systems-in-california-state-university-long-beach-1,INFORMS Connect - Available Positions,13/08/2026
Assistant Professor Position in Data Science and Decision Intelligence at Clemson University,Clemson University,Academia,Assistant Professor,,,,,,https://connect.informs.org/discussion/assistant-professor-position-in-data-science-and-decision-intelligence-at-clemson-university,https://apply.interfolio.com/185276,INFORMS Connect - Available Positions,29/08/2026
"Open Rank Tenure/Tenure-Track Faculty Position at Carlos Alvarez College of Business, Department of Operations & Analytics",College of Business,Academia,Open Rank Faculty,,,,,,https://connect.informs.org/discussion/open-rank-tenuretenure-track-faculty-position-at-carlos-alvarez-college-of-business-department-of-operations-analytics-1,https://connect.informs.org:443/communities/community-home/digestviewer/viewthread?GroupId=631&MID=4496&CommunityKey=1da3a01c-2272-4e45-b382-18c7640da1b7&hlmlt=VT,INFORMS Connect - Available Positions,29/08/2026
"All-Rank Faculty Position in Supply Chain and Operations Management, Hong Kong Polytechnic University",Hong Kong Polytechnic University,Academia,Other,,,,,,https://connect.informs.org/discussion/all-rank-faculty-position-in-supply-chain-and-operations-management-hong-kong-polytechnic-university,https://www.polyu.edu.hk/hro/docdrive/careers/doc/Prof.pdf,INFORMS Connect - Available Positions,29/08/2026
Tenure Track Position in Operations Management at the Kelley School of Business at Indiana University Bloomington,Kelley School of Business at Indiana University,Academia,Tenure-Track Faculty,,,,,,https://connect.informs.org/discussion/tenure-track-position-in-operations-management-at-the-kelley-school-of-business-at-indiana-university-bloomington,https://connect.informs.org:443/viewdocument/tenure-track-position-in-operations-management-at-the-kelley-school-of-business-at-indiana-university-bloomington?CommunityKey=1da3a01c-2272-4e45-b382-18c7640da1b7&tab=librarydocuments&hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
"Tenure-Track Position in Analytics & Operations at NUS Business School, National University of Singapore",National University of Singapore,Academia,Tenure-Track Faculty,,,,,,https://connect.informs.org/discussion/tenure-track-position-in-analytics-operations-at-nus-business-school-national-university-of-singapore-1,https://connect.informs.org:443/discussion/tenure-track-position-in-analytics-operations-at-nus-business-school-national-university-of-singapore?hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
IEMS Northwestern faculty positions,Northwestern University,Academia,Other,,,,,,https://connect.informs.org/discussion/iems-northwestern-faculty-positions,https://www.mccormick.northwestern.edu/industrial/career/.,INFORMS Connect - Available Positions,13/08/2026
Tenured/Tenure-track Faculty Positions in Operations Management at Singapore Management University,Singapore Management University,Academia,Tenure-Track Faculty,,,,,,https://connect.informs.org/discussion/tenuredtenure-track-faculty-positions-in-operations-management-at-singapore-management-university,https://smucareers.taleo.net/careersection/smu_ext_ft/jobdetail.ftl?job=2600007L&tz=GMT%2B08%3A00&tzname=Asia%2FSingapore,INFORMS Connect - Available Positions,29/08/2026
Assistant/Associate Professor equivalent position in Artificial Intelligence and Business Analytics at University of Bristol Business School UK,University of Bristol Business School UK,Academia,Associate Professor,,,,,,https://connect.informs.org/discussion/assistantassociate-professor-equivalent-position-in-artificial-intelligence-and-business-analytics-at-university-of-bristol-business-school-uk-1,https://connect.informs.org/discussion/assistantassociate-professor-equivalent-position-in-artificial-intelligence-and-business-analytics-at-university-of-bristol-business-school-uk-1,INFORMS Connect - Available Positions,13/08/2026
"Lecturer Positions - Information Systems and Operations Management Department, University of Florida",University of Florida,Academia,Lecturer,,,,,,https://connect.informs.org/discussion/lecturer-positions-information-systems-and-operations-management-department-university-of-florida-1,https://explore.jobs.ufl.edu/en-us/job/541095/lecturer,INFORMS Connect - Available Positions,29/08/2026
"Faculty Position: CUHK Business School, the Chinese University of Hong Kong",University of Hong Kong,Academia,Other,,,,,,https://connect.informs.org/discussion/faculty-position-cuhk-business-school-the-chinese-university-of-hong-kong,https://cuhk.taleo.net/careersection/cu_career_teach/jobsearch.ftl?lang=en&portal=10115020119&lang=en,INFORMS Connect - Available Positions,29/08/2026
Faculty Position: Tech & Operations-Cognitive Manufacturing at Ross School of Business at the University of Michigan,"University of Michigan, Ross School of Business",Academia,Other,,,,,,https://connect.informs.org/discussion/faculty-position-tech-operations-cognitive-manufacturing-at-ross-school-of-business-at-the-university-of-michigan,https://apply.interfolio.com/189178,INFORMS Connect - Available Positions,13/08/2026
Faculty Position: Technology & Operations-Semiconductor Manufacturing at Ross School of Business at the University of Michigan,"University of Michigan, Ross School of Business",Academia,Other,,,,,,https://connect.informs.org/discussion/faculty-position-technology-operations-semiconductor-manufacturing-at-ross-school-of-business-at-the-university-of-michigan,https://apply.interfolio.com/188537,INFORMS Connect - Available Positions,13/08/2026
